버스정류장ars번호,시간대,승차비율,하차비율
05122,16,0.0,0.0
05122,17,0.0,0.0
05122,18,0.0,0.0
05122,19,0.0,0.0
05122,20,0.0,0.0
05122,21,0.0,0.0
05122,22,0.0,0.0
05123,0,0.0,0.0
05123,1,0.0,0.0
05123,2,0.0,0.0
05123,3,0.0,0.0
05123,4,100.0,100.0
05123,6,0.0,0.0
05123,7,0.0,0.0
05123,8,0.0,0.0
05123,9,0.0,0.0
05123,10,0.0,0.0
05123,11,0.0,0.0
05123,12,0.0,0.0
05123,13,0.0,0.0
05123,14,0.0,0.0
05123,15,0.0,0.0
05123,16,0.0,0.0
05123,17,0.0,0.0
05123,18,0.0,0.0
05123,19,0.0,0.0
05123,20,0.0,0.0
05123,21,0.0,0.0
05123,22,0.0,0.0
05135,0,1.76,5.53
05135,1,0.0,0.0
05135,2,0.0,0.0
05135,3,0.0,0.0
05135,4,0.0,0.0
05135,6,13.13,2.22
05135,7,20.25,1.7
05135,8,11.96,3.48
05135,9,9.51,3.56
05135,10,5.23,3.11
05135,11,4.81,2.75
05135,12,4.23,3.05
05135,13,3.76,3.24
05135,14,3.8,3.75
05135,15,3.52,5.85
05135,16,5.61,6.94
05135,17,3.71,8.23
05135,18,2.85,13.35
05135,19,2.01,10.65
05135,20,1.76,7.42
05135,21,1.41,8.44
05135,22,0.69,6.74
05136,0,5.15,4.5
05136,1,0.0,0.01
05136,2,0.0,0.0
05136,3,0.0,0.0
05136,4,0.0,0.0
05136,6,7.1,1.52
05136,7,3.45,4.95
05136,8,4.22,5.55
05136,9,4.3,3.92
05136,10,8.89,3.32
05136,11,4.26,2.56
05136,12,4.91,3.2
05136,13,4.71,3.54
05136,14,4.71,3.69
05136,15,7.14,5.4
05136,16,16.27,7.52
05136,17,8.6,9.49
05136,18,5.11,12.39
05136,19,4.26,9.5
05136,20,2.72,6.7
05136,21,2.19,7.17
05136,22,1.99,5.08
05137,0,2.57,4.88
05137,1,0.0,0.0
05137,2,0.0,0.0
05137,3,0.0,0.0
05137,4,0.0,0.0
05137,6,4.36,1.42
05137,7,14.92,16.93
05137,8,17.28,5.28
05137,9,9.96,2.18
05137,10,5.56,2.22
05137,11,4.32,1.61
05137,12,4.31,2.01
05137,13,3.85,2.19
05137,14,3.43,2.78
05137,15,4.72,4.74
05137,16,7.11,6.37
05137,17,5.43,7.11
05137,18,4.06,10.97
05137,19,3.28,8.74
05137,20,2.48,7.18
05137,21,1.37,8.29
05137,22,0.99,5.1
05138,0,1.75,5.32
05138,1,0.0,0.0
05138,2,0.0,0.0
05138,3,0.0,0.0
05138,4,0.0,0.0
05138,6,2.2,1.26
05138,7,6.41,3.15
05138,8,5.91,4.3
05138,9,5.19,2.79
05138,10,5.68,2.48
05138,11,5.61,2.4
05138,12,5.65,2.71
05138,13,4.99,2.66
05138,14,5.37,3.55
05138,15,7.55,6.1
05138,16,8.96,8.68
05138,17,8.29,9.94
05138,18,8.32,12.29
05138,19,6.74,11.01
05138,20,4.91,7.72
05138,21,4.09,6.95
05138,22,2.38,6.69
05139,0,2.74,7.31
05139,1,0.0,0.0
05139,2,0.0,0.0
05139,3,0.0,0.0
05139,4,0.0,0.0
05139,6,1.58,1.75
05139,7,4.78,2.13
05139,8,5.45,4.52
05139,9,2.89,2.86
05139,10,3.83,3.56
05139,11,3.41,3.2
05139,12,3.65,3.21
05139,13,3.88,3.52
05139,14,4.68,4.08
05139,15,6.08,7.26
05139,16,8.12,9.33
05139,17,9.6,9.4
05139,18,12.66,10.14
05139,19,8.5,9.1
05139,20,6.72,7.1
05139,21,6.75,6.01
05139,22,4.65,5.52
05144,0,1.14,3.36
05144,1,0.0,0.34
05144,2,0.0,0.0
05144,3,0.0,0.0
05144,4,0.0,0.0
05144,6,4.59,1.29
05144,7,15.06,4.64
05144,8,17.88,13.1
05144,9,6.77,5.77
05144,10,4.23,3.09
05144,11,3.46,3.37
05144,12,3.34,3.87
05144,13,3.22,4.97
05144,14,4.99,4.25
05144,15,5.74,5.24
05144,16,7.22,6.6
05144,17,6.41,7.84
05144,18,5.36,10.22
05144,19,3.67,7.4
05144,20,2.47,5.15
05144,21,2.45,4.77
05144,22,1.99,4.73
05145,0,1.6,3.53
05145,1,0.0,0.36
05145,2,0.0,0.0
05145,3,0.0,0.0
05145,4,0.0,0.0
05145,6,5.1,1.0
05145,7,11.0,11.57
05145,8,15.04,15.68
05145,9,8.96,6.71
05145,10,5.28,4.49
05145,11,4.84,3.71
05145,12,4.61,4.63
05145,13,4.38,4.77
05145,14,4.76,4.35
05145,15,4.91,5.04
05145,16,5.99,5.73
05145,17,7.11,5.32
05145,18,6.6,6.83
05145,19,3.32,5.17
05145,20,2.32,3.91
